pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,4.15E-05,4.64E-07,0.013663233,0.78636641,0,
2,3.97E-05,4.75E-07,0.013663233,0.789562855,0,
3,3.80E-05,4.59E-07,0.013663233,1,0,
4,3.62E-05,4.92E-07,0.013663233,0.845881868,0,
5,3.46E-05,5.22E-07,0.013663233,0.72982276,0,
6,3.31E-05,5.30E-07,0.013663233,0.769403215,0,
7,3.15E-05,5.27E-07,0.013663233,0.883028837,0,
8,3.01E-05,5.66E-07,0.013663233,0.718392346,0,
9,2.86E-05,5.72E-07,0.013663233,0.77146752,0,
10,2.72E-05,5.93E-07,0.013663233,0.739916341,0,
11,2.60E-05,6.08E-07,0.013663233,0.743588955,0,
12,2.47E-05,6.42E-07,0.013663233,0.639177519,0,
13,2.36E-05,6.35E-07,0.013663233,0.770991613,0,
14,2.26E-05,6.76E-07,0.013663233,0.638910047,0,
15,2.15E-05,7.02E-07,0.013663233,0.596504063,0,
16,2.06E-05,7.06E-07,0.013663233,0.669988745,0,
17,1.97E-05,7.38E-07,0.013663233,0.604898186,0,
18,1.87E-05,7.34E-07,0.013663233,0.723260057,0,
19,1.79E-05,7.88E-07,0.013663233,0.55385833,0,
20,1.71E-05,7.82E-07,0.013663233,0.687474963,0,
21,1.64E-05,8.37E-07,0.013663233,0.526490198,0,
22,1.57E-05,8.50E-07,0.013663233,0.568099958,0,
23,1.51E-05,8.82E-07,0.013663233,0.526190565,0,
24,1.44E-05,9.15E-07,0.013663233,0.487484027,0,
25,1.38E-05,9.64E-07,0.013663233,0.385657882,0,
26,1.32E-05,9.64E-07,0.013663233,0.489972594,0,
27,1.27E-05,9.80E-07,0.013663233,0.53350277,0,
28,1.22E-05,1.03E-06,0.013663233,0.432805705,0,
29,1.17E-05,1.04E-06,0.013663233,0.494711734,0,
30,1.12E-05,1.07E-06,0.013663233,0.51669381,0,
31,1.08E-05,1.13E-06,0.013663233,0.379928495,0,
32,1.03E-05,1.16E-06,0.013663233,0.396724731,0,
33,9.94E-06,1.18E-06,0.013663233,0.443530684,0,
34,9.56E-06,1.24E-06,0.013663233,0.355580513,0,
35,9.12E-06,1.26E-06,0.013663233,0.401681124,0,
36,8.86E-06,1.31E-06,0,0.340829082,0,
37,8.49E-06,1.34E-06,0.043902647,0.357485243,0,
38,8.28E-06,1.40E-06,0.013310768,0.298010376,0,
39,7.88E-06,1.43E-06,0.083268301,0.315042462,0,
40,7.59E-06,1.47E-06,0.106829781,0.303038715,0,
41,7.27E-06,1.51E-06,0.149325603,0.315098601,0,
42,7.07E-06,1.58E-06,0.134879234,0.237941582,0,
43,6.77E-06,1.61E-06,0.183465185,0.270880711,0,
44,6.50E-06,1.66E-06,0.219257414,0.267949423,0,
45,6.27E-06,1.71E-06,0.234615333,0.241699341,0,
46,6.04E-06,1.75E-06,0.257004914,0.265859416,0,
47,5.84E-06,1.80E-06,0.270728972,0.275533845,0,
48,5.68E-06,1.86E-06,0.258019324,0.245040106,0,
49,5.46E-06,1.93E-06,0.287285169,0.207573807,0,
