pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,6.36E-05,1.24E-06,0.505726527,0.374570337,0,pateint 22
2,6.15E-05,1.29E-06,0.505726527,0.218056035,0,
3,5.94E-05,1.28E-06,0.505726527,0.597839452,0,
4,5.75E-05,1.33E-06,0.505726527,0.428542193,0,
5,5.53E-05,1.41E-06,0.505726527,0.099227141,0,
6,5.30E-05,1.44E-06,0.505726527,0.08867977,0,
7,5.09E-05,1.47E-06,0.505726527,0.16550002,0,
8,4.90E-05,1.53E-06,0.505726527,0.018452349,0,
9,4.69E-05,1.54E-06,0.505726527,0.299411227,0,
10,4.51E-05,1.55E-06,0.505726527,0.520824864,0,
11,4.34E-05,1.66E-06,0.505726527,0,0,
12,4.16E-05,1.66E-06,0.505726527,0.290622687,0,
13,3.99E-05,1.64E-06,0.505726527,0.801891435,0,
14,3.83E-05,1.77E-06,0.505726527,0.163725967,0,
15,3.67E-05,1.80E-06,0.505726527,0.307209986,0,
16,3.52E-05,1.78E-06,0.505726527,0.769924545,0,
17,3.38E-05,1.80E-06,0.505726527,1,0,
18,3.26E-05,1.92E-06,0.505726527,0.553742485,0,
19,3.13E-05,2.05E-06,0.505726527,0.059142317,0,
20,3.01E-05,2.01E-06,0.505726527,0.621597167,0,
21,2.90E-05,2.16E-06,0.505726527,0.066083739,0,
22,2.77E-05,2.15E-06,0.505726527,0.44905838,0,
23,2.66E-05,2.17E-06,0.505726527,0.681410521,0,
24,2.57E-05,2.29E-06,0.505726527,0.351515949,0,
25,2.46E-05,2.28E-06,0.505726527,0.771897664,0,
26,2.38E-05,2.46E-06,0.505726527,0.128550523,0,
27,2.29E-05,2.45E-06,0.505726527,0.559357554,0,
28,2.21E-05,2.53E-06,0.505726527,0.498642524,0,
29,2.13E-05,2.57E-06,0.505726527,0.662564797,0,
30,2.06E-05,2.77E-06,0.505726527,0.040138187,0,
31,1.96E-05,2.72E-06,0.505726527,0.671773186,0,
32,1.90E-05,2.92E-06,0.505726527,0.081417953,0,
33,1.82E-05,2.94E-06,0.505726527,0.348009923,0,
34,1.75E-05,3.00E-06,0.505726527,0.454145081,0,
35,1.71E-05,3.13E-06,0.505726527,0.261375621,0,
36,1.62E-05,3.15E-06,0.505726527,0.574853106,0,
37,1.58E-05,3.33E-06,0.505726527,0.201839703,0,
38,1.52E-05,3.37E-06,0.505726527,0.423302143,0,
39,1.51E-05,3.54E-06,0.505726527,0.129891913,0,
40,1.41E-05,3.56E-06,0.505726527,0.478727828,0,
41,1.36E-05,3.66E-06,0.507195618,0.469172424,0,
42,1.31E-05,3.72E-06,0.527684666,0.643855179,0,
43,1.27E-05,3.88E-06,0.492594608,0.471667218,0,
44,1.22E-05,3.95E-06,0.557629793,0.653139011,0,
45,1.18E-05,4.07E-06,0.550658622,0.627183418,0,
46,1.14E-05,4.22E-06,0.587741455,0.506375391,0,
47,1.10E-05,4.41E-06,0.522061755,0.283052076,0,
48,1.06E-05,4.47E-06,0.594087071,0.526734583,0,
49,1.03E-05,4.70E-06,0.524235187,0.202492292,0,
50,1.01E-05,4.85E-06,0.369996029,0.188940537,0,
51,9.67E-06,4.86E-06,0.491078592,0.599295701,0,
52,9.30E-06,5.02E-06,0.564814094,0.561423034,0,
53,9.02E-06,5.16E-06,0.527903109,0.599736846,0,
54,8.74E-06,5.33E-06,0.51221228,0.569707071,0,
55,8.46E-06,5.55E-06,0.499054435,0.406691205,0,
56,8.16E-06,5.66E-06,0.535433619,0.574023746,0,
57,7.86E-06,5.80E-06,0.598483992,0.665484657,0,
58,7.67E-06,6.08E-06,0.504557292,0.386887039,0,
59,7.42E-06,6.23E-06,0.515259876,0.479994913,0,
60,7.21E-06,6.44E-06,0.474600458,0.448153601,0,
61,6.92E-06,6.63E-06,0.572007676,0.471538703,0,
62,6.75E-06,6.88E-06,0.491475592,0.36806661,0,
63,6.66E-06,7.14E-06,0.265469252,0.256580968,0,
64,6.34E-06,7.29E-06,0.471310555,0.435950895,0,
65,6.15E-06,7.51E-06,0.46713747,0.455643967,0,
66,5.98E-06,7.73E-06,0.42726055,0.500226452,0,
67,5.78E-06,8.04E-06,0.457540192,0.356278482,0,
