pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,3.60E-05,6.63E-07,0.016768327,0.139937562,1,patient 30
2,3.48E-05,6.73E-07,0.016768327,0.163133295,1,
3,3.36E-05,6.84E-07,0.016768327,0.183458114,1,
4,3.24E-05,7.15E-07,0.016768327,0.145909459,1,
5,3.12E-05,7.27E-07,0.016768327,0.163331981,1,
6,3.01E-05,7.54E-07,0.016768327,0.144375866,1,
7,2.90E-05,7.69E-07,0.016768327,0.155818324,1,
8,2.80E-05,7.79E-07,0.016768327,0.184764205,1,
9,2.70E-05,7.92E-07,0.016768327,0.206329171,1,
10,2.60E-05,8.39E-07,0.016768327,0.139046015,1,
11,2.50E-05,8.45E-07,0.016768327,0.181729427,1,
12,2.42E-05,8.80E-07,0.016768327,0.150994869,1,
13,2.33E-05,9.05E-07,0.016768327,0.149555856,1,
14,2.24E-05,9.16E-07,0.016768327,0.181366379,1,
15,2.17E-05,9.77E-07,0.016768327,0.099308516,1,
16,2.09E-05,9.55E-07,0.016768327,0.206400282,1,
17,2.01E-05,9.95E-07,0.016768327,0.175032525,1,
18,1.94E-05,1.05E-06,0.016768327,0.115943263,1,
19,1.88E-05,1.05E-06,0.016768327,0.172190172,1,
20,1.82E-05,1.08E-06,0.016768327,0.163971699,1,
21,1.75E-05,1.15E-06,0.016768327,0.091167214,1,
22,1.69E-05,1.18E-06,0.016768327,0.106233355,1,
23,1.63E-05,1.20E-06,0.016768327,0.127211677,1,
24,1.57E-05,1.20E-06,0.016768327,0.185248846,1,
25,1.52E-05,1.23E-06,0.016768327,0.185096599,1,
26,1.47E-05,1.30E-06,0.016768327,0.123881117,1,
27,1.41E-05,1.27E-06,0.016768327,0.239145431,1,
28,1.37E-05,1.33E-06,0.016768327,0.195700462,1,
29,1.31E-05,1.37E-06,0.016768327,0.190122229,1,
30,1.28E-05,1.42E-06,0.016768327,0.176515464,1,
31,1.22E-05,1.43E-06,0.016768327,0.235189115,1,
32,1.19E-05,1.54E-06,0.016768327,0.122389092,1,
33,1.15E-05,1.57E-06,0.016768327,0.130256763,1,
34,1.11E-05,1.59E-06,0.016768327,0.174215083,1,
35,1.06E-05,1.61E-06,0.041327873,0.209857137,1,
36,1.04E-05,1.69E-06,0,0.162353945,1,
37,9.95E-06,1.73E-06,0.027987248,0.170000188,1,
38,9.64E-06,1.81E-06,0.011837948,0.131065,1,
39,9.29E-06,1.87E-06,0.0262884,0.124266638,1,
40,8.99E-06,1.93E-06,0.015929883,0.112763377,1,
41,8.65E-06,1.94E-06,0.039491851,0.180761242,1,
42,8.35E-06,2.02E-06,0.043244692,0.146283235,1,
43,8.08E-06,2.10E-06,0.040392249,0.120492303,1,
44,7.86E-06,2.16E-06,0.009384555,0.11660858,1,
45,7.57E-06,2.21E-06,0.025758288,0.141880364,1,
46,7.31E-06,2.29E-06,0.036015271,0.12191307,1,
47,7.00E-06,2.33E-06,0.080220635,0.154957912,1,
48,6.82E-06,2.42E-06,0.046116966,0.129481807,1,
49,6.58E-06,2.50E-06,0.061192227,0.119590042,1,
50,6.40E-06,2.62E-06,0.037311921,0.076429599,1,
51,6.12E-06,2.64E-06,0.091315128,0.128666966,1,
52,5.96E-06,2.76E-06,0.062969937,0.085393726,1,
53,5.69E-06,2.81E-06,0.120784771,0.126022484,1,
54,5.53E-06,2.95E-06,0.103733965,0.06966137,1,
55,5.36E-06,3.02E-06,0.100384579,0.083210831,1,
56,5.24E-06,3.14E-06,0.059973967,0.058649259,1,
57,5.06E-06,3.21E-06,0.077035281,0.085308801,1,
58,4.88E-06,3.31E-06,0.091028252,0.08409257,1,
59,4.74E-06,3.45E-06,0.085251637,0.046243674,1,
60,4.59E-06,3.54E-06,0.082667874,0.063575049,1,
61,4.45E-06,3.68E-06,0.087155221,0.039103648,1,
62,4.30E-06,3.78E-06,0.097381284,0.046335982,1,
63,4.16E-06,3.93E-06,0.106112984,0.025620652,1,
64,4.01E-06,4.02E-06,0.123697765,0.048777114,1,
65,3.92E-06,4.14E-06,0.09307328,0.051846798,1,
66,3.79E-06,4.28E-06,0.101593592,0.044894035,1,
67,3.67E-06,4.44E-06,0.113966339,0.025416841,1,
68,3.65E-06,4.58E-06,0.014190827,0.02371547,1,
69,3.45E-06,4.74E-06,0.113447974,0.014152475,1,
70,3.36E-06,4.88E-06,0.102417113,0.020143404,1,
71,3.25E-06,5.03E-06,0.105781395,0.02391703,1,
72,3.17E-06,5.18E-06,0.088249488,0.034008327,1,
73,3.10E-06,5.40E-06,0.061441923,0,1,
74,2.96E-06,5.54E-06,0.117533091,0.022137283,1,
75,2.87E-06,5.75E-06,0.119279169,0.003762937,1,
76,2.77E-06,5.92E-06,0.142677642,0.014761887,1,
77,2.71E-06,6.10E-06,0.113779993,0.022758365,1,
78,2.65E-06,6.33E-06,0.089634776,0.007962139,1,
79,2.56E-06,6.54E-06,0.11264016,0.005712867,1,
80,2.48E-06,6.70E-06,0.117099866,0.005712867,1,
81,2.41E-06,6.95E-06,0.111962291,0.005712867,1,
82,2.34E-06,7.14E-06,0.11965552,0.005712867,1,
83,2.23E-06,7.39E-06,0.177117521,0.005712867,1,
84,2.16E-06,7.60E-06,0.182901428,0.005712867,1,
85,2.11E-06,7.91E-06,0.171649799,0.005712867,1,
86,2.05E-06,8.18E-06,0.173924496,0.005712867,1,
87,2.02E-06,8.50E-06,0.118850421,0.005712867,1,
88,1.93E-06,8.74E-06,0.183911206,0.005712867,1,
89,1.91E-06,9.09E-06,0.125039589,0.005712867,1,
90,1.80E-06,9.41E-06,0.209317029,0.005712867,1,
91,1.77E-06,9.64E-06,0.171428508,0.005712867,1,
92,1.73E-06,1.01E-05,0.165568795,0.005712867,1,
93,1.65E-06,1.04E-05,0.219479533,0.005712867,1,
94,1.61E-06,1.08E-05,0.215286548,0.005712867,1,
95,1.56E-06,1.11E-05,0.219831347,0.005712867,1,
96,1.50E-06,1.15E-05,0.242518818,0.005712867,1,
97,1.44E-06,1.20E-05,0.279635971,0.005712867,1,
98,1.41E-06,1.24E-05,0.258350039,0.005712867,1,
99,1.35E-06,1.27E-05,0.303212559,0.005712867,1,
100,1.33E-06,1.33E-05,0.272649389,0.005712867,1,
101,1.33E-06,1.38E-05,0.180548412,0.005712867,1,
102,1.25E-06,1.43E-05,0.284322148,0.005712867,1,
103,1.23E-06,1.48E-05,0.257775059,0.005712867,1,
104,1.19E-06,1.53E-05,0.264597417,0.005712867,1,
105,1.18E-06,1.59E-05,0.218520963,0.005712867,1,
106,1.12E-06,1.65E-05,0.296416742,0.005712867,1,
107,1.10E-06,1.72E-05,0.259853462,0.005712867,1,
108,1.08E-06,1.77E-05,0.234372995,0.005712867,1,
109,1.01E-06,1.84E-05,0.359172828,0.005712867,1,
110,1.04E-06,1.93E-05,0.177663307,0.005712867,1,
